model,task,macro_f1,balanced_accuracy,accuracy,quadratic_weighted_kappa,confusion_matrix,num_train,num_test,subset_experiment,status,eligible_as_final_result,generated_by,git_commit,train_split_path,train_split_sha256,test_split_path,test_split_sha256,prediction_file,prediction_file_sha256,created_at_utc,excluded_test_ids
Majority Class Baseline,deepdrid_overall,0.3548,0.5,0.55,0.0,"[[0, 180], [0, 220]]",1200,400,False,completed,True,scripts/train_baselines.py,06cdd884245dce95be987ac46ffaec8f69687c84,data/splits/deepdrid_train.csv,d7d85b2b8a8ca99ecc2a45310b1068cd3fe332ed2aec5b346900e3d796a29d54,data/splits/deepdrid_external_test.csv,ed61d43d2b41dda38b7ccd38ed78623f4452ddf2a122963f1a704c186050922e,artifacts/predictions/majority_baseline_predictions.csv,c07ba0b2408a7cdcd4327032ad9b54aa8cb11a95b1e8da45146d0d2106298dc6,2026-09-15T19:42:38.985849+00:00,
Classical Handcrafted Features + Random Forest,deepdrid_overall,0.6539,0.6538,0.6575,0.3077,"[[111, 69], [68, 152]]",1200,400,False,completed,True,scripts/train_baselines.py,06cdd884245dce95be987ac46ffaec8f69687c84,data/splits/deepdrid_train.csv,d7d85b2b8a8ca99ecc2a45310b1068cd3fe332ed2aec5b346900e3d796a29d54,data/splits/deepdrid_external_test.csv,ed61d43d2b41dda38b7ccd38ed78623f4452ddf2a122963f1a704c186050922e,artifacts/predictions/classical_rf_predictions.csv,2eb3f28cebdb6a83220afe004585d642fb6ff7b757e1fff23758ad20f1ec61d1,2026-09-15T19:42:38.985849+00:00,[]
Classical Handcrafted Features + Logistic Regression,deepdrid_overall,0.6209,0.6207,0.63,0.2441,"[[95, 85], [63, 157]]",1200,400,False,completed,True,scripts/train_baselines.py,06cdd884245dce95be987ac46ffaec8f69687c84,data/splits/deepdrid_train.csv,d7d85b2b8a8ca99ecc2a45310b1068cd3fe332ed2aec5b346900e3d796a29d54,data/splits/deepdrid_external_test.csv,ed61d43d2b41dda38b7ccd38ed78623f4452ddf2a122963f1a704c186050922e,artifacts/predictions/classical_lr_predictions.csv,94476f7743f16970575607a88caf44811f03e5b2507ea9f5d45d80eeb591e069,2026-09-15T19:42:38.985849+00:00,[]
