seed,best_validation_objective,best_val_macro_f1,selection_metric,selection_mode,epochs_trained,checkpoint_path,checkpoint_sha256,config_path,config_sha256,git_commit,created_at_utc,deepdrid_macro_f1,deepdrid_balanced_accuracy,deepdrid_accuracy,deepdrid_qwk,deepdrid_ci_lower,deepdrid_ci_upper
2026,0.6304,0.6304,primary_macro_f1,max,9,artifacts/runs/multitask/seed_2026/best.ckpt,c1b082835f30e32faaa5ef2659b47b56269b0aeb403cc044ffc6586dce028032,configs/train_multitask.yaml,461f197de216059f87d2d44f4a2ef3a15e146c0a7abb21f666e4c1095c7883b0,05a9e344be8345e43c2987ac848286709df5e228,2026-09-15T20:33:55.986361+00:00,0.743,0.7417,0.7475,0.4865,0.6933,0.7872
2027,0.6214,0.6214,primary_macro_f1,max,8,artifacts/runs/multitask/seed_2027/best.ckpt,f8cf3bc82e802d8009aa5c4fa42ba5221f4649d43a1ea1ca91e981b75847eeb3,configs/train_multitask.yaml,461f197de216059f87d2d44f4a2ef3a15e146c0a7abb21f666e4c1095c7883b0,05a9e344be8345e43c2987ac848286709df5e228,2026-09-15T20:46:53.321837+00:00,0.7644,0.7677,0.765,0.53,0.7164,0.8099
2028,0.6534,0.6534,primary_macro_f1,max,14,artifacts/runs/multitask/seed_2028/best.ckpt,62ab00e0c1ba37bad1f6a2ab7e2557a23911f65b4030c78618e938387e6c0ea5,configs/train_multitask.yaml,461f197de216059f87d2d44f4a2ef3a15e146c0a7abb21f666e4c1095c7883b0,05a9e344be8345e43c2987ac848286709df5e228,2026-09-15T21:09:05.567780+00:00,0.7264,0.7285,0.7275,0.4536,0.6799,0.7748
